"uri","name","author_name","author_movement","genre"
"http://dbpedia.org/resource/Something_About_Cats_and_Other_Pieces","Something About Cats and Other Pieces","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Shadow_over_Innsmouth","The Shadow over Innsmouth","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Three_Tales_of_Horror","Three Tales of Horror","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Someone_in_the_Dark","Someone in the Dark","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Horror_in_the_Museum_and_Other_Revisions","The Horror in the Museum and Other Revisions","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Dagon_and_Other_Macabre_Tales","Dagon and Other Macabre Tales","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Fire_and_Sleet_and_Candlelight","Fire and Sleet and Candlelight","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Over_the_Edge_(anthology)","Over the Edge (anthology)","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Call_of_Cthulhu_and_Other_Weird_Stories","The Call of Cthulhu and Other Weird Stories","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Marginalia_(collection)","Marginalia (collection)","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Shadow_Out_of_Time","The Shadow Out of Time","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/At_the_Mountains_of_Madness_and_Other_Novels","At the Mountains of Madness and Other Novels","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Dunwich_Horror_and_Others","The Dunwich Horror and Others","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Colonel_Markesan_and_Less_Pleasant_People","Colonel Markesan and Less Pleasant People","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Dark_Mind,_Dark_Heart","Dark Mind, Dark Heart","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Dark_Things","Dark Things","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Dreams_and_Fancies","Dreams and Fancies","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/In_Lovecraft's_Shadow","In Lovecraft's Shadow","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Miscellaneous_Writings_(Lovecraft)","Miscellaneous Writings (Lovecraft)","H. P. Lovecraft","Cosmicism","Horror fiction",""
